,Time      (s),Ullage       
8313,8.313000000000832,0.9022897350486506
8314,8.314000000000831,0.9023493215176384
8315,8.31500000000083,0.902408903647292
8316,8.31600000000083,0.9024684814378972
8317,8.31700000000083,0.902528054889741
8318,8.31800000000083,0.902587624003109
8319,8.319000000000829,0.9026471887782872
8320,8.320000000000828,0.9027067492155622
8321,8.321000000000828,0.902766305315219
8322,8.322000000000827,0.902825857077544
8323,8.323000000000826,0.9028854045028224
8324,8.324000000000826,0.90294494759134
8325,8.325000000000825,0.9030044863433826
8326,8.326000000000825,0.9030640207592352
8327,8.327000000000824,0.9031235508391834
8328,8.328000000000824,0.903183076583512
8329,8.329000000000823,0.9032425979925064
8330,8.330000000000823,0.9033021150664522
8331,8.331000000000822,0.9033616278056336
8332,8.332000000000821,0.9034211362103356
8333,8.33300000000082,0.9034806402808432
8334,8.33400000000082,0.9035401400174408
8335,8.33500000000082,0.9035996354204132
8336,8.33600000000082,0.9036591264900452
8337,8.337000000000819,0.9037186132266208
8338,8.338000000000818,0.9037780956304244
8339,8.339000000000818,0.9038375737017404
8340,8.340000000000817,0.9038970474408528
8341,8.341000000000816,0.9039565168480456
8342,8.342000000000816,0.904015981923603
8343,8.343000000000815,0.9040754426678088
8344,8.344000000000815,0.9041348990809468
8345,8.345000000000814,0.9041943511633008
8346,8.346000000000814,0.904253798915154
8347,8.347000000000813,0.9043132423367904
8348,8.348000000000813,0.904372681428493
8349,8.349000000000812,0.904432116190546
8350,8.350000000000811,0.9044915466232314
8351,8.35100000000081,0.9045509727268332
8352,8.35200000000081,0.9046103945016346
8353,8.35300000000081,0.904669811947918
8354,8.35400000000081,0.9047292250659668
8355,8.355000000000809,0.9047886338560632
8356,8.356000000000808,0.9048480383184908
8357,8.357000000000808,0.9049074384535316
8358,8.358000000000807,0.9049668342614684
8359,8.359000000000806,0.9050262257425832
8360,8.360000000000806,0.9050856128971588
8361,8.361000000000805,0.9051449957254776
8362,8.362000000000805,0.9052043742278214
8363,8.363000000000804,0.9052637484044724
8364,8.364000000000804,0.9053231182557128
8365,8.365000000000803,0.9053824837818244
8366,8.366000000000803,0.9054418449830888
8367,8.367000000000802,0.905501201859788
8368,8.368000000000801,0.9055605544122036
8369,8.369000000000801,0.9056199026406172
8370,8.3700000000008,0.90567924654531
8371,8.3710000000008,0.905738586126564
8372,8.3720000000008,0.9057979213846596
8373,8.373000000000799,0.9058572523198788
8374,8.374000000000798,0.905916578932502
8375,8.375000000000798,0.905975901222811
8376,8.376000000000797,0.9060352191910862
8377,8.377000000000796,0.9060945328376088
8378,8.378000000000796,0.906153842162659
8379,8.379000000000795,0.906213147166518
8380,8.380000000000795,0.906272447849466
8381,8.381000000000794,0.9063317442117838
8382,8.382000000000794,0.9063910362537516
8383,8.383000000000793,0.9064503239756498
8384,8.384000000000793,0.9065096073777584
8385,8.385000000000792,0.906568886460358
8386,8.386000000000791,0.906628161223728
8387,8.387000000000791,0.9066874316681492
8388,8.38800000000079,0.9067466977939004
8389,8.38900000000079,0.9068059596012624
8390,8.39000000000079,0.9068652170905144
8391,8.391000000000789,0.9069244702619358
8392,8.392000000000788,0.9069837191158064
8393,8.393000000000788,0.9070429636524052
8394,8.394000000000787,0.9071022038720126
8395,8.395000000000786,0.9071614397749064
8396,8.396000000000786,0.907220671361367
8397,8.397000000000785,0.9072798986316728
8398,8.398000000000785,0.9073391215861026
8399,8.399000000000784,0.9073983402249358
8400,8.400000000000784,0.9074575545484508
8401,8.401000000000783,0.9075167645569266
8402,8.402000000000783,0.9075759702506416
8403,8.403000000000782,0.9076351716298746
8404,8.404000000000782,0.9076943686949038
8405,8.405000000000781,0.9077535614460074
8406,8.40600000000078,0.907812749883464
8407,8.40700000000078,0.9078719340075516
8408,8.40800000000078,0.9079311138185484
8409,8.409000000000779,0.9079902893167324
8410,8.410000000000778,0.9080494605023812
8411,8.411000000000778,0.9081086273757728
8412,8.412000000000777,0.9081677899371852
8413,8.413000000000777,0.9082269481868958
8414,8.414000000000776,0.908286102125182
8415,8.415000000000775,0.9083452517523216
8416,8.416000000000775,0.9084043970685914
8417,8.417000000000774,0.9084635380742694
8418,8.418000000000774,0.9085226747696324
8419,8.419000000000773,0.9085818071549572
8420,8.420000000000773,0.9086409352305216
8421,8.421000000000772,0.9087000589966022
8422,8.422000000000772,0.9087591784534754
8423,8.423000000000771,0.9088182936014184
8424,8.42400000000077,0.908877404440708
8425,8.42500000000077,0.9089365109716204
8426,8.42600000000077,0.9089956131944325
8427,8.427000000000769,0.9090547111094198
8428,8.428000000000768,0.9091138047168597
8429,8.429000000000768,0.9091728940170278
8430,8.430000000000767,0.9092319790102004
8431,8.431000000000767,0.9092910596966536
8432,8.432000000000766,0.9093501360766632
8433,8.433000000000765,0.9094092081505052
8434,8.434000000000765,0.9094682759184552
8435,8.435000000000764,0.9095273393807892
8436,8.436000000000764,0.9095863985377826
8437,8.437000000000763,0.9096454533897108
8438,8.438000000000763,0.9097045039368492
8439,8.439000000000762,0.9097635501794736
8440,8.440000000000762,0.9098225921178588
8441,8.441000000000761,0.9098816297522802
8442,8.44200000000076,0.9099406630830126
8443,8.44300000000076,0.9099996921103312
8444,8.44400000000076,0.9100587168345108
8445,8.445000000000759,0.9101177372558262
8446,8.446000000000758,0.9101767533745524
8447,8.447000000000758,0.9102357651909634
8448,8.448000000000757,0.9102947727053342
8449,8.449000000000757,0.9103537759179394
8450,8.450000000000756,0.9104127748290528
8451,8.451000000000755,0.9104717694389493
8452,8.452000000000755,0.9105307597479024
8453,8.453000000000754,0.9105897457561868
8454,8.454000000000754,0.9106487274640764
8455,8.455000000000753,0.9107077048718448
8456,8.456000000000753,0.9107666779797664
8457,8.457000000000752,0.9108256467881144
8458,8.458000000000752,0.9108846112971626
8459,8.459000000000751,0.9109435715071844
8460,8.46000000000075,0.9110025274184538
8461,8.46100000000075,0.911061479031244
8462,8.46200000000075,0.9111204263458278
8463,8.463000000000749,0.9111793693624788
8464,8.464000000000748,0.9112383080814704
8465,8.465000000000748,0.9112972425030752
8466,8.466000000000747,0.9113561726275664
8467,8.467000000000747,0.9114150984552168
8468,8.468000000000746,0.9114740199862992
